AÃ‘O,CO2,B_TOTAL,PIB
2018,202.199,13423578,441.874
2017,204.594,13516311,568.798
2016,210.592,12823907,503.555
2015,210.724,13216597,580.769
2014,207.931,13200357,425.287
2013,202.582,12857408,460.291
2012,206.337,12916716,451.838
2011,199.854,12794717,379.353
2010,191.832,11267726,320.447
2009,186.426,12145029,239.47
2008,196.638,12400235,247.781
2007,184.351,11586732,209.994
2006,176.72,11499838,185.311
2005,165.903,12531634,160.069
2004,162.984,14331980,132.291
2003,146.623,14350320,122.121
2002,133.378,13415160,107.347
2001,141.3,14955659,325.256
2000,150.865,14660284,344.044
1999,152.522,16053055,297.427
